  1.2557	  1.2557
 -0.0012	 -0.0012
 -0.5061	 -0.5061
 -0.8478	 -0.8478
  0.4242	  0.4242
 -0.1241	 -0.1241
  0.2334	  0.2334
 -0.8609	 -0.8609
 -0.0620	 -0.0620
 -1.1655	 -1.1655
  1.2496	  1.2496
 -0.8922	 -0.8922
 -0.4823	 -0.4823
  0.0004	  0.0004
 -0.7144	 -0.7144
 -0.5984	 -0.5984
  0.0449	  0.0449
 -0.6853	 -0.6853
  0.5137	  0.5137
  1.7267	  1.7267
 -0.5083	 -0.5083
  0.3060	  0.3060
  1.3402	  1.3402
  0.2615	  0.2615
 -0.3087	 -0.3087
  1.5148	  1.5148
 -0.5081	 -0.5081
  0.7950	  0.7950
 -0.1250	 -0.1250
  0.7109	  0.7109
  1.0741	  1.0741
  0.6683	  0.6683
  0.4036	  0.4036
 -1.0832	 -1.0832
 -0.7097	 -0.7097
  0.1812	  0.1812
 -0.2131	 -0.2131
 -2.3085	 -2.3085
  0.6384	  0.6384
 -0.9639	 -0.9639
  0.0446	  0.0446
 -1.6456	 -1.6456
 -1.8600	 -1.8600
  2.1032	  2.1032
  0.9462	  0.9462
 -1.2492	 -1.2492
 -0.2241	 -0.2241
 -1.6647	 -1.6647
  0.1056	  0.1056
  0.6363	  0.6363
 -2.4831	 -2.4831
 -0.8621	 -0.8621
  0.1432	  0.1432
 -1.1636	 -1.1636
  0.3764	  0.3764
 -0.8582	 -0.8582
 -0.7945	 -0.7945
  0.1629	  0.1629
 -0.4789	 -0.4789
 -1.1442	 -1.1442
 -0.5191	 -0.5191
 -1.0142	 -1.0142
 -0.4991	 -0.4991
 -1.0937	 -1.0937
 -1.0366	 -1.0366
 -1.8478	 -1.8478
  0.4718	  0.4718
  1.1214	  1.1214
  1.1984	  1.1984
 -2.0949	 -2.0949
  0.4046	  0.4046
  0.4580	  0.4580
 -0.6767	 -0.6767
  0.3311	  0.3311
  0.1013	  0.1013
  0.2502	  0.2502
  2.1728	  2.1728
 -0.0408	 -0.0408
  0.5318	  0.5318
 -0.1624	 -0.1624
 -0.0734	 -0.0734
 -0.8722	 -0.8722
  1.3223	  1.3223
 -0.7914	 -0.7914
  0.7991	  0.7991
 -0.2881	 -0.2881
 -0.6594	 -0.6594
 -1.0390	 -1.0390
  0.2758	  0.2758
 -0.1278	 -0.1278
 -0.3175	 -0.3175
  1.6391	  1.6391
 -0.2874	 -0.2874
 -0.1768	 -0.1768
  0.3487	  0.3487
 -0.1424	 -0.1424
  1.5644	  1.5644
 -0.4691	 -0.4691
 -0.0739	 -0.0739
 -0.6386	 -0.6386
